dealer_code,name,address,city,state,zip,phone,website,email_home,email_contact,email_contact-us,email_service,email_service-dept,email_parts,email_sales,email_call-center,email_about,email_about-us,email_financing
50012,Kendall Toyota of Anchorage,6930 Old Seward Highway,Anchorage,AK,99518,(907) 279-8506,https://www.kendalltoyotaofanchorage.com,,,,,,,,,,,
50013,Kendall Toyota of Fairbanks,1000 Cadillac Court,Fairbanks,AK,99701,(907) 456-6217,https://www.kendalltoyotaoffairbanks.com,,,,,,,,,,,
50014,Juneau Toyota,8602 Teal Street,Juneau,AK,99801,(907) 789-1386,https://www.juneautoyota.com,,,,,,,,,,,
1083,Sand Mountain Toyota,9167 US Highway 431 N,Albertville,AL,35950,(256) 878-0789,https://www.sandmountaintoyota.com,,,,,,,,,,,
1094,Allen Turner Toyota of Auburn,170 West Creek Parkway,Auburn,AL,36830,(334) 887-1100,https://www.allenturnertoyotaofauburn.com/,,,,,,,,,,,
1061,Limbaugh Toyota,2200 Avenue T,Birmingham,AL,35218,(205) 780-0500,https://www.limbaughtoyota.com,,,,,,,,,,,
1059,Serra Toyota,1300 Center Point Parkway,Birmingham,AL,35215,(205) 838-4400,https://www.serratoyota.com,,,,,,,,,,,
1033,McKinnon Toyota,235 Price Drive,Clanton,AL,35046,(205) 755-3430,https://www.mckinnontoyota.com,,,,,,,,,,,
1084,Eastern Shore Toyota,29732 Frederick Blvd.,Daphne,AL,36526,(251) 625-1919,https://www.easternshoretoyota.com,,,,,,,,,,,
1071,Serra Toyota of Decatur,309 Beltline Place,Decatur,AL,35603,(256) 340-0330,https://www.toyotaofdecatur.com,,,,,,,,,,,
1053,Toyota of Dothan,2285 Ross Clark Circle,Dothan,AL,36301,(334) 794-0741,https://www.toyotaofdothan.com,,,,,,,,,,,
1080,Bondy's Enterprise Toyota,519 Boll Weevil Circle,Enterprise,AL,36330,(334) 347-5200,https://www.bondystoyota.com,,,,,,,,,,,
1090,Hoover Toyota,2686 Highway 150,Hoover,AL,35244,(205) 978-2600,https://www.hoovertoyota.com,,,,,,,,,,,
1007,Bill Penney Toyota,"4808 University Dr., N.W.",Huntsville,AL,35816,(256) 837-1111,https://www.billpenneytoyota.com,,,,,,,,,,,
1091,Bill Penney Toyota of Jasper,3815 Hwy 78 E,Jasper,AL,35501,(205) 221-3939,https://www.billpenneytoyotaofjasper.com,,,,,,,,,,,
1077,Springhill Toyota,3062 Government Blvd.,Mobile,AL,36606,(251) 450-1000,https://www.springhilltoyota.com,,,,,,,,,,,
1096,Toyota West Mobile,470 Schillinger Road South,Mobile,AL,36695,(251) 639-0800,https://www.toyotawestmobile.com,,,,,,,,,,,
1095,Toyota of Montgomery,911 Eastern Blvd.,Montgomery,AL,36117,(334) 272-7147,https://www.toyotamontgomery.com,,,,,,,,,,,
1089,Toyota of Sylacauga,39765 Highway 280,Sylacauga,AL,35150,(256) 245-5251,https://www.toyotaofsylacauga.com,,,,,,,,,,,
1085,Tuscaloosa Toyota,"3325 Skyland Blvd, East",Tuscaloosa,AL,35405,(205) 553-3325,https://www.tuscaloosatoyota.com,,,,,,,,,,,
1093,Singing River Toyota,5100 US-43,Tuscumbia,AL,35674,(256) 383-3611,https://www.singingrivertoyota.com,,,,,,,,,,,
3068,Caldwell Toyota,1355 Exchange Avenue,Conway,AR,72032,(501) 327-3900,https://www.caldwelltoyota.com,,,,,,,,,,,
3076,Karl Malone Toyota Chevrolet,1830 West Hillsboro,El Dorado,AR,71730,(870) 862-2900,https://www.karlmalonetoyotaeldorado.com,,,,,,,,,,,
3066,Toyota of Fayetteville,1352 W. Showroom Drive,Fayetteville,AR,72704,(479) 695-7600,https://www.toyotaoffayetteville.com,webleads@toyotafayetteville.dsmessage.com,,,,,,,,,,
3050,J. Pauley Toyota,6200 South 36th Street,Fort Smith,AR,72908,(479) 646-7800,https://www.jpauleytoyota.com,,,,,,,,,,,
3072,Landers Toyota,10825 Colonel Glenn Road,Little Rock,AR,72204,(501) 568-5800,https://www.landerstoyota.com,,,,,,,,,,,
3049,Ryburn Toyota,156 Highway 425 South,Monticello,AR,71655,(870) 367-5353,https://www.ryburntoyota.com,,,,,,,,,,,
3074,Mark McLarty Toyota,4336 Landers Road,North Little Rock,AR,72117,(501) 753-0400,https://www.markmclartytoyota.com,,,,,,,,,,,
